ID	TRAD	SIMP	IPA	JYUTPING	EXPL	NOTE
293	䠋	䠋	pi33	bi2	同髀字	
294	䠋	䠋	pai53	baai1	蹟䠋	
295	䠩	䠩	kui22	gui6	累，又作癐/攰字	
296	䡵	𫟦	ʃui22	sui6		
297	䢅	䢅	ʃɐn21	san4		
298	䢺	䢺	tʃʰɐt3	cat2		
299	䢼	䢼	kœŋ53	goeng1		
300	䣘	䣘	taŋ21	daang4		
301	䥇	䦂	ʃin55	sin3		
302	䥑	鿏	miɐk24	miak5		
303	䥕	𬭯	pʰit3	pit2		
304	䥛	䥛	kit3	git2		(又)
305	䥛	䥛	kyt3	gyut2		
306	䨻	䨻	pɐŋ22	bang6		
307	䩌	䩌	tʃau21	zaau4	褶皺，又或䐬字	(語)
308	䩌	䩌	tʃiu21	ziu4		
309	䩩	䩩	jyn33	jyun2		
310	䪏	䪏	nap24	naap5		
311	䬍	䬍	fot2	fot6	啡[fi55]啡[fi55]～～，形容工作緊張	(語)
312	䬍	䬍	fɐt3	fat2		
313	䬬	䬬	∅ɐŋ55	ang3	使勁憋，～屎，拉屎，又作嗯字	(語)
314	䬬	䬬	jiɐŋ55	jiang3	飽；滿	
315	䭑	𫗱	kɛm24	gem5	舔	(語)
316	䭑	𫗱	lim24	lim5		
317	䭔	𫗰	tui53	dui1	煎～	
318	䭞	䭞	jek24	jik5	飯壞	
319	䭤	䭤	hin33	hin2		
320	䭦	䭦	pok3	buk2	同餺字	
321	䭰	䭰	pœŋ22	boeng6		
322	䮄	𫠊	jyn21	jyun4		
323	䯾	䯾	tiu21	diu4	髮多	
324	䯾	䯾	tiu53	diu1	小兒留髮	
325	䰾	鲃	pa53	baa1		
326	䱽	䲝	tʃʰaŋ53	caang1		
327	䲁	鳚	wɐi55	wai3		
328	䲘	鳤	kun33	gun2		
329	䴉	鹮	wan21	waan4		
330	䵑	䵑	nek3	nik2	～身，汗衣黏身；黏，又作䵒/𪐌字	
331	䵑	䵑	nɐt3	nat2	身～，痠軟（汗衣黏身引申）	
332	䵒	䵒	nek3	nik2	～身，汗衣黏身；黏，又作䵑/𪐌字	
333	䵒	䵒	nɐt3	nat2	身～，痠軟（汗衣黏身引申）	
334	䶡	䶡	ʃat2	saat6	咬物聲	
335	䶡	䶡	tʃiɐk2	ziak6	同齰字	
336	一	一	∅ɐt3	at2		
337	丁	丁	teŋ53	ding1	男丁，肉丁；<語>小粒狀物、個或少量，與滴對轉	
338	七	七	tʃʰɐt3	cat2		
339	万	万	man22	maan6	同萬字	
340	万	万	mɐk24	mak5	万俟，複姓	
341	丈	丈	tʃiɐŋ22	ziang6		
342	三	三	ɬam53	slaam1		
343	上	上	ʃɐŋ22	sang6	上面	
344	上	上	ʃɐŋ24	sang5	上山	
345	下	下	ja22	jaa6	底下，下山	
346	下	下	ja24	jaa5	一下，等下	
347	不	不	pɐt3	bat2	否定	
348	不	不	fɐu24	fau5	同否字	
349	与	与	jy24	jyu5	同與字	
350	与	与	jy22	jyu6	同與字	
351	丏	丏	min24	min5		
352	丐	丐	kʰai55	kaai3		
353	丑	丑	tʃʰɐu33	cau2		
354	且	且	tʃʰe33	ce2		
355	丕	丕	pʰi53	pi1		
356	世	世	ʃi55	si3		
357	丘	丘	jɐu53	jau1		
358	丙	丙	peŋ33	bing2		
359	丞	丞	ʃeŋ21	sing4		
360	丟	丢	tɐu53	dau1		
361	並	并	peŋ22	bing6	並且	
362	丫	丫	ja53	jaa1		(又)
363	丫	丫	∅a53	aa1		
364	中	中	tʃœŋ55	zoeng3	中計	
365	中	中	tʃœŋ53	zoeng1	中間	
366	丰	丰	fœŋ53	foeng1		
367	串	串	tʃʰyn55	cyun3		
368	丸	丸	jyn21	jyun4		
369	丹	丹	tan53	daan1		
370	主	主	tʃy33	zyu2		
371	丼	丼	tʃeŋ33	zing2	同井字	
372	丼	丼	tɐm33	dam2	落水聲；姓	
373	丽	丽	lɐi22	lai6		
374	乂	乂	ŋai22	ngaai6		
375	乃	乃	nai24	naai5		
376	久	久	kɐu33	gau2		
377	么	么	jiu53	jiu1	同幺字	
378	么	么	mo53	mo1	同麼字	
379	么	么	ma53	maa1	同嗎字	
380	之	之	tʃi53	zi1		
381	乍	乍	tʃa55	zaa3		
382	乎	乎	hu21	hu4	在乎	
383	乏	乏	fat2	faat6		
384	乒	乒	peŋ53	bing1		
385	乓	乓	paŋ53	baang1		
386	乓	乓	paŋ53	baang1		
387	乖	乖	kʷai53	gwaai1		
388	乘	乘	ʃeŋ21	sing4	乘坐	
389	乘	乘	ʃeŋ22	sing6	千乘	
390	乙	乙	jit3	jit2		(又)
391	乙	乙	jyt3	jyut2		
392	乜	乜	me33	me2	～斜，歪斜	
393	九	九	kɐu33	gau2		
394	乞	乞	hɐt5	hat3	組詞讀，乞兒，乞飯	(又)
395	乞	乞	hɐt3	hat2	單字讀	
396	也	也	je24	je5		
397	乩	乩	ki53	gi1		
398	乪	乪	kek2	gik6		
399	乱	乱	lun22	lun6		
400	乳	乳	jy24	jyu5		
401	乸	乸	na33	naa2	母，雌	
402	乾	乾	kyn21	gyun4		(又)
403	乾	乾	kin21	gin4	乾坤	
404	乾	干	kan53	gaan1	乾燥	
405	亂	乱	lun22	lun6		
406	了	了	liu24	liu5		
407	予	予	jy24	jyu5	賦予	
408	予	予	jy21	jyu4	我	
409	事	事	ʃɐi22	sai6		
410	二	二	ȵi22	nji6		
411	亍	亍	tʃʰœk3	coek2		
412	于	于	jy53	jyu1	同於字	
413	于	于	jy21	jyu4	之子于歸；姓	
414	云	云	wɐn21	wan4		
415	互	互	hu22	hu6		
416	亓	亓	ki21	gi4		
417	五	五	ŋu24	ngu5		(老派)
418	五	五	ŋ̍24	ng5		
419	井	井	tʃeŋ33	zing2		
420	亙	亘	kɐŋ33	gang2		
421	些	些	ɬe53	sle1		
422	亞	亚	∅a55	aa3	亞洲；近指代詞（這），又作阿字，本字箇	
423	亟	亟	kek3	gik2	亟待	
424	亟	亟	kʰi55	ki3	亟請	
425	亡	亡	maŋ21	maang4		
426	亢	亢	kaŋ53	gaang1	人頸	
427	亢	亢	kʰaŋ55	kaang3	亢奮	
428	交	交	kau53	gaau1		
429	亥	亥	hai22	haai6		
430	亦	亦	∅ɐk2	ak6		(又)
431	亦	亦	jek24	jik5		
432	亨	亨	hɐŋ53	hang1		
433	享	享	hiɐŋ33	hiang2		
434	京	京	keŋ53	ging1		
435	亭	亭	teŋ21	ding4		
436	亮	亮	liɐŋ22	liang6		
437	亯	亯	hiɐŋ33	hiang2		
438	亳	亳	pok3	buk2		
439	亶	亶	tan22	daan6	同但字	
440	亶	亶	tʰan33	taan2	誠信	
441	亹	亹	mun21	mun4	亹源	
442	亹	亹	mi24	mi5	亹亹	
443	人	人	ȵɐn21	njan4		
444	什	什	tʃap2	zaap6	什錦，什物	(又)
445	什	什	ʃɐm22	sam6	什麼	
446	什	什	ʃɐp2	sap6	什錦，什物	
447	仁	仁	ȵɐn21	njan4		
448	仂	仂	lɐk24	lak5	餘數	
449	仂	仂	lek24	lik5	同力字	
450	仃	仃	teŋ53	ding1		
451	仄	仄	tʃɐk3	zak2		
452	仅	仅	kɐn33	gan2		
453	仆	仆	pʰœk3	poek2	趴，～住睡	(又)
454	仆	仆	pʰok3	puk2	仆倒	
455	仆	仆	fu22	fu6	前仆後繼，又作赴字	
456	仇	仇	ʃɐu21	sau4	仇恨	
457	仇	仇	kɐu21	gau4	姓	
458	仉	仉	tʃiɐŋ33	ziang2		
459	今	今	kɐm53	gam1		
460	介	介	kai55	gaai3		
461	仍	仍	ŋeŋ21	nging4		
462	从	从	tʃœŋ21	zoeng4		
463	仔	仔	tʃi33	zi2	仔細	
464	仔	仔	tʃai33	zaai2	仔女，本字崽	
465	仕	仕	ʃɐi22	sai6		
466	他	他	tʰa53	taa1		
467	仗	仗	tʃiɐŋ55	ziang3	打仗	
468	仗	仗	tʃiɐŋ22	ziang6	倚仗，炮仗	
469	付	付	fu22	fu6		
470	仙	仙	ɬin53	slin1		
471	仝	仝	tœŋ21	doeng4		
472	仞	仞	ȵɐn22	njan6		
473	仟	仟	tʃʰin53	cin1		
474	仡	仡	ŋɐt2	ngat6	壯勇	
475	仡	仡	ko53	go1	仡佬族	
476	代	代	tai22	daai6		
477	令	令	leŋ22	ling6		
478	以	以	ji24	ji5		
