ID	TRAD	SIMP	IPA	JYUTPING	EXPL	NOTE	LEVEL
361	冒	冒	mau22	maau6			1
362	冗	冗	jœŋ24	joeng5			1
363	宂	冗	jœŋ24	joeng5			1
364	寫	写	ɬe33	sle2			1
365	軍	军	kʷɐn53	gwan1			1
366	農	农	nœŋ21	noeng4			1
367	冠	冠	kun55	gun3	冠軍		1
368	冠	冠	kun53	gun1	衣冠		1
369	冤	冤	jyn53	jyun1			1
370	冥	冥	meŋ21	ming4			1
371	冬	冬	tœŋ53	doeng1			1
372	鼕	冬	tœŋ21	doeng4		(又)	1
373	鼕	冬	tœŋ53	doeng1	鼓聲		1
374	馮	冯	fœŋ21	foeng4	姓		1
375	馮	冯	pɐŋ21	bang4	暴虎馮河		1
376	冰	冰	peŋ53	bing1			1
377	沖	冲	tʃʰœŋ53	coeng1			1
378	衝	冲	tʃʰœŋ53	coeng1			1
379	決	决	kʰyt3	kyut2			1
380	況	况	kʷʰaŋ55	kwaang3			1
381	冶	冶	je24	je5			1
382	冷	冷	liɐŋ24	liang5			1
383	凍	冻	tœŋ55	doeng3			1
384	凈	净	tʃeŋ22	zing6			1
385	淨	净	tʃeŋ22	zing6			1
386	凄	凄	tʃʰɐi53	cai1			1
387	悽	凄	tʃʰɐi53	cai1			1
388	淒	凄	tʃʰɐi53	cai1			1
389	准	准	tʃɐn33	zan2			1
390	準	准	tʃɐn33	zan2			1
391	涼	凉	liɐŋ21	liang4			1
392	凌	凌	leŋ21	ling4			1
393	淩	凌	leŋ21	ling4			1
394	減	减	kam33	gaam2			1
395	湊	凑	tʃʰɐu55	cau3			1
396	凜	凛	lɐm24	lam5			1
397	凝	凝	keŋ21	ging4	（豬油等）凝結	(語)	1
398	凝	凝	neŋ21	ning4			1
399	几	几	ki53	gi1	茶几		1
400	幾	几	ki33	gi2	幾個		1
401	幾	几	ki53	gi1	幾乎		1
402	凡	凡	fan21	faan4			1
403	鳳	凤	fœŋ22	foeng6			1
404	凭	凭	pɐŋ21	bang4	同憑字		1
405	凭	凭	pɐŋ22	bang6	倚靠		1
406	憑	凭	pɐŋ21	bang4	憑據		1
407	憑	凭	pɐŋ22	bang6	倚靠，本字凭		1
408	凱	凯	kʰai33	kaai2			1
409	凰	凰	hoŋ21	hung4			1
410	凳	凳	tɐŋ55	dang3			1
411	兇	凶	hœŋ53	hoeng1			1
412	凶	凶	hœŋ53	hoeng1			1
413	凸	凸	tɐt2	dat6			1
414	凹	凹	map5	maap3	～地，窪地；太公～，地名	(訓)	1
415	凹	凹	mɐp5	map3		(又)	1
416	凹	凹	mɐp3	map2		(又)	1
417	凹	凹	∅au53	aau1	與凸相對		1
418	凹	凹	wa53	waa1	同窪字		1
419	出	出	tʃʰɐt3	cat2			1
420	齣	出	tʃʰɐt3	cat2			1
421	擊	击	kʰek3	kik2			1
422	函	函	ham21	haam4			1
423	鑿	凿	tʃɐk2	zak6	刺	(語)	1
424	鑿	凿	tʃak2	zaak6			1
425	刀	刀	tau53	daau1			1
426	刁	刁	tiu53	diu1			1
427	刃	刃	ȵɐn22	njan6			1
428	分	分	fɐn22	fan6	本分		1
429	分	分	fɐn53	fan1	分開		1
430	切	切	tʃʰit3	cit2	切開		1
431	切	切	tʃʰɐi55	cai3	一切		1
432	刊	刊	han33	haan2			1
433	刑	刑	heŋ21	hing4			1
434	划	划	wa21	waa4			1
435	劃	划	wak2	waak6			1
436	列	列	lyt24	lyut5		(又)	1
437	列	列	lit2	lit6			1
438	劉	刘	lɐu21	lau4			1
439	則	则	tʃɐk3	zak2			1
440	剛	刚	kaŋ53	gaang1			1
441	創	创	tʃʰaŋ55	caang3			1
442	初	初	tʃʰu53	cu1			1
443	刪	删	ʃan53	saan1			1
444	判	判	pʰun55	pun3			1
445	刨	刨	pau21	baau4			1
446	利	利	li22	li6			1
447	別	别	pit2	bit6			1
448	彆	别	pit3	bit2			1
449	刮	刮	kʷat3	gwaat2			1
450	颳	刮	kʷat3	gwaat2			1
451	到	到	tau55	daau3			1
452	制	制	tʃi55	zi3			1
453	製	制	tʃi55	zi3			1
454	刷	刷	tʃʰat3	caat2	訓讀擦	(訓)	1
455	券	券	hyn55	hyun3		(書)	1
456	券	券	kyn55	gyun3		(習)	1
457	剎	刹	ʃat3	saat2			1
458	刺	刺	tʃʰek3	cik2	刺骨，頭刺，肉刺	(白)	1
459	刺	刺	tʃʰi55	ci3			1
460	刻	刻	kʰɐk3	kak2			1
461	劑	剂	tʃɐi22	zai6		(又)	1
462	劑	剂	tʃɐi55	zai3			1
463	剃	剃	tʰɐi55	tai3			1
464	削	削	ɬiɐk3	sliak2			1
465	前	前	tʃin21	zin4			1
466	劍	剑	kim55	gim3			1
467	剔	剔	tʰek3	tik2			1
468	剖	剖	pʰɐu33	pau2			1
469	剝	剥	pak3	baak2			1
470	劇	剧	kek2	gik6			1
471	剩	剩	ʃeŋ22	sing6			1
472	剪	剪	tʃin33	zin2			1
473	副	副	fu55	fu3			1
474	割	割	kɛt3	get2		(老派)	1
475	割	割	kat3	gaat2			1
476	剿	剿	tʃiu33	ziu2			1
477	劈	劈	pʰek3	pik2			1
478	力	力	lek24	lik5			1
479	勸	劝	hyn55	hyun3			1
480	辦	办	pan22	baan6			1
481	功	功	kœŋ53	goeng1			1
482	加	加	ka53	gaa1			1
483	務	务	fu22	fu6		(老派)	1
484	務	务	mu22	mu6			1
485	劣	劣	lyt24	lyut5			1
486	動	动	tœŋ22	doeng6			1
487	助	助	tʃu22	zu6		(又)	1
488	助	助	tʃo22	zo6			1
489	努	努	nu24	nu5			1
490	劫	劫	kip3	gip2			1
491	勵	励	lɐi22	lai6			1
492	勁	劲	keŋ55	ging3			1
493	勞	劳	lau21	laau4			1
494	勢	势	ʃi55	si3			1
495	勃	勃	put2	but6			1
496	勇	勇	jœŋ24	joeng5			1
497	勉	勉	min24	min5			1
498	勛	勋	wɐn53	wan1			1
499	勳	勋	wɐn53	wan1			1
500	勒	勒	lɐk24	lak5			1
501	勘	勘	kʰam53	kaam1			1
502	募	募	mu22	mu6			1
503	勤	勤	kɐn21	gan4			1
504	勺	勺	ʃiɐk2	siak6		(又)	1
505	勺	勺	tʃiɐk3	ziak2			1
506	勾	勾	kɐu53	gau1		(文)	1
507	勾	勾	ŋɐu53	ngau1		(白)	1
508	勿	勿	fɐt24	fat5		(老派)	1
509	勿	勿	kʷʰɐt3	kwat2		(又)	1
510	勿	勿	mɐt24	mat5			1
511	勻	匀	wɐn21	wan4			1
512	包	包	pau53	baau1			1
513	匆	匆	tʃʰœŋ53	coeng1			1
514	怱	匆	tʃʰœŋ53	coeng1			1
515	匈	匈	hœŋ53	hoeng1			1
516	匕	匕	pi55	bi3			1
517	化	化	wa55	waa3			1
518	北	北	pɐk3	bak2			1
519	匙	匙	tʃi21	zi4	匙羹		1
520	匙	匙	ʃi21	si4	鎖匙		1
521	匠	匠	tʃiɐŋ22	ziang6			1
522	匣	匣	hap2	haap6			1
523	匪	匪	fi33	fi2			1
524	匹	匹	pʰɐt3	pat2			1
525	區	区	kʰy53	kyu1	區域		1
526	區	区	∅ɐu53	au1	姓		1
527	醫	医	∅i53	i1		(又)	1
528	醫	医	ji53	ji1			1
529	匾	匾	pin33	bin2		(文)	1
530	匾	匾	pɛn33	ben2		(白)	1
531	匿	匿	nek24	nik5			1
532	十	十	ʃɐp2	sap6			1
533	千	千	tʃʰin53	cin1			1
534	韆	千	tʃʰin53	cin1			1
535	升	升	ʃeŋ53	sing1			1
536	昇	升	ʃeŋ53	sing1			1
537	陞	升	ʃeŋ53	sing1			1
538	午	午	ŋu24	ngu5		(老派)	1
539	午	午	ŋ̍24	ng5			1
540	卉	卉	wɐi33	wai2			1
541	半	半	pun55	bun3			1
542	華	华	wa21	waa4	中華		1
543	華	华	wa22	waa6	華山；姓		1
544	協	协	hip3	hip2			1
545	卑	卑	pɐi53	bai1			1
546	卒	卒	tʃɐt3	zat2			1
547	卓	卓	tʃok3	zuk2		(又)	1
548	卓	卓	tʃœk3	zoek2			1
549	單	单	ʃyn22	syun6		(又)	1
550	單	单	tan53	daan1	單獨		1
551	單	单	ʃin22	sin6	姓		1
552	賣	卖	mai22	maai6			1
553	南	南	na55	naa3	南無（喃嘸）佬，道士和尚	(語)	1
554	南	南	nam21	naam4			1
555	博	博	pok3	buk2			1
556	卜	卜	pʰok3	puk2	占卜		1
557	蔔	卜	pɐk2	bak6			1
558	佔	占	tʃim55	zim3			1
559	占	占	tʃim53	zim1	占卜		1
560	卡	卡	kʰa53	kaa1			1
561	盧	卢	lu21	lu4			1
562	滷	卤	lu24	lu5			1
563	鹵	卤	lu24	lu5			1
564	卦	卦	kʷa55	gwaa3			1
565	卧	卧	ŋo22	ngo6			1
566	臥	卧	ŋo22	ngo6			1
567	衛	卫	wɐi22	wai6			1
568	衞	卫	wɐi22	wai6			1
569	卯	卯	mau24	maau5			1
570	印	印	∅ɐn55	an3			1
571	危	危	wɐi21	wai4			1
572	即	即	tʃek3	zik2			1
573	卽	即	tʃek3	zik2			1
574	卻	却	kʰiɐk3	kiak2			1
575	卵	卵	lun24	lun5			1
576	卷	卷	kyn33	gyun2			1
577	捲	卷	kyn33	gyun2			1
578	卸	卸	ɬe55	sle3			1
579	卿	卿	heŋ53	hing1			1
580	厂	厂	han55	haan3	山石之崖		1
581	厂	厂	tʃʰaŋ33	caang2	同廠字		1
582	廠	厂	tʃʰaŋ33	caang2			1
583	廳	厅	tʰeŋ53	ting1			1
584	厤	历	lek24	lik5			1
585	曆	历	lek24	lik5			1
586	歷	历	lek24	lik5			1
587	厲	厉	li22	li6	厲害，本字利害	(語)	1
588	厲	厉	lɐi22	lai6	嚴厲		1
589	壓	压	∅ap3	aap2		(又)	1
590	壓	压	∅at3	aat2			1
591	厭	厌	jim55	jim3			1
592	厠	厕	tʃʰi55	ci3	厠所		1
593	厠	厕	tʃʰɐk3	cak2	厠足，厠身		1
594	廁	厕	tʃʰi55	ci3	廁所		1
595	廁	厕	tʃʰɐk3	cak2	廁足，廁身		1
596	厘	厘	li21	li4			1
597	釐	厘	li21	li4			1
598	厚	厚	hɐu24	hau5			1
599	原	原	jyn21	jyun4			1
600	廂	厢	ɬiɐŋ53	sliang1			1
601	廈	厦	ja22	jaa6	廈門		1
602	廚	厨	tʃy21	zyu4			1
603	去	去	hy55	hyu3			1
604	縣	县	jyn22	jyun6			1
605	叁	叁	ɬam53	slaam1			1
606	參	参	tʃʰam53	caam1	參加		1
607	參	参	ʃɐm53	sam1	人參		1
608	參	参	tʃʰɐm53	cam1	參差		1
609	蔘	参	ʃɐm53	sam1			1
610	又	又	jɐu22	jau6			1
611	叉	叉	tʃʰa53	caa1			1
612	及	及	kɐp2	gap6			1
613	友	友	jɐu24	jau5			1
614	雙	双	ʃoŋ53	sung1			1
615	反	反	fan33	faan2			1
616	發	发	fat3	faat2			1
617	髮	发	fat3	faat2			1
618	叔	叔	ʃœk3	soek2			1
619	取	取	tʃʰu33	cu2	助詞，動詞後表動作方式，着	(白)	1
620	取	取	tʃʰy33	cyu2			1
621	受	受	ʃɐu22	sau6			1
622	變	变	pin55	bin3			1
623	敍	叙	tʃy22	zyu6			1
624	敘	叙	tʃy22	zyu6			1
625	叛	叛	pun22	bun6		(又)	1
626	叛	叛	pʰun55	pun3			1
627	疊	叠	tip2	dip6			1
628	口	口	hɐu33	hau2			1
629	古	古	ku33	gu2			1
630	句	句	ky55	gyu3			1
631	另	另	leŋ22	ling6			1
632	叨	叨	tau53	daau1	嘮叨		1
633	叨	叨	tʰau53	taau1	叨光		1
634	叩	叩	kʰɐu55	kau3			1
635	只	只	tʃi33	zi2			1
636	隻	只	tʃek3	zik2			1
637	叫	叫	kiu55	giu3			1
638	召	召	tʃiu53	ziu1	召喚/召集，又作招喚/招集		1
639	召	召	tʃiu22	ziu6	號召		1
640	召	召	ʃiu22	siu6	姓，同邵字；召公		1
